sample_id,evidence_availability,conditional_validity,evidence_relation_error,endpoint_correlation,forward_delivery_success,reverse_delivery_success,visual_record_kib,radio_record_kib,link_rate_mbps,fixed_per_message_latency_ms,processing_time_ms,decision_deadline_ms,visual_initial_age_ms,radio_initial_age_ms,record_ttl_ms,finalizer,interaction,sender_feedback_format,artifact_format,unconditional_coverage,timely_safe_world_coverage,selective_risk,false_safe_rate,harmful_acceptance_probability,expected_evidence_payload_bytes,expected_evidence_payload_kib,mean_safe_world_evidence_traffic_bytes,mean_safe_world_evidence_traffic_kib,p95_action_ready_latency_ms,local_reuse_probability,deadline_caused_abstention_probability,evidence_insufficient_abstention_probability,expired_evidence_abstention_probability,transport_abstention_probability,safe_world_reject_probability,safe_world_abstention_probability,finalization_failure_probability,unconstrained_safe_accept_probability,logical_message_count
36,0.965625,0.989453125,0.13984375,0.2859375,0.976796875,0.973046875,17.375,0.79296875,182.8125,2.3585937500000003,5.390625,33.0078125,22.359375,21.3359375,45.46875,receiver,feedback,reference_manifest,reference_manifest,0.43627832644624637,0.5342169931578715,0.008165800986243874,0.018750326254587363,0.0035625619883715856,6626.511579709784,6.471202714560336,5424.062114018262,5.296935658220959,10.886402585470087,0.5334164764764756,0.0,0.018162968337169298,0.0,0.01567143008424451,0.43194860842071797,0.03383439842141382,0.0,0.5342169931578715,2
37,0.980625,0.991796875,0.14296874999999998,0.1171875,0.981015625,0.984765625,16.375,1.05078125,132.8125,3.2773437500000004,13.828125,40.0390625,10.109375,15.2265625,39.53125,sender,one_way,reference_manifest,reference_manifest,0.5727405175876839,0.6815859562837113,0.03606501087940942,0.10871522630462313,0.0206558929978784,17354.73198339839,16.94798045253749,17354.73198339844,16.94798045253754,18.180307338235295,0.0,0.0,0.04646136370126016,0.0,0.013189885114035392,0.25876279490099396,0.059651248815295495,0.0,0.6815859562837113,1
37,0.980625,0.991796875,0.14296874999999998,0.1171875,0.981015625,0.984765625,16.375,1.05078125,132.8125,3.2773437500000004,13.828125,40.0390625,10.109375,15.2265625,39.53125,sender,feedback,reference_manifest,reference_manifest,0.4387048661697456,0.537032974225981,0.008452509494770014,0.01951661603527148,0.0037081570467015824,13890.799502097356,13.565233888766949,14424.537404851499,14.086462309425292,21.457651088235295,0.029501253407661042,0.0,0.004994468500594107,0.0,0.010392531077240884,0.4475800261961861,0.015386999577834985,0.0,0.537032974225981,2
37,0.980625,0.991796875,0.14296874999999998,0.1171875,0.981015625,0.984765625,16.375,1.05078125,132.8125,3.2773437500000004,13.828125,40.0390625,10.109375,15.2265625,39.53125,receiver,one_way,reference_manifest,reference_manifest,0.4366313277305154,0.5347967321394077,0.007892183814448,0.018136708934714273,0.003445974697595713,17354.73198339839,16.94798045253749,17354.73198339844,16.94798045253754,18.180307338235295,0.5343650201363773,0.0,0.00515237496387312,0.0,0.013189885114035392,0.4468610077826861,0.018342260077908536,0.0,0.5347967321394077,1
37,0.980625,0.991796875,0.14296874999999998,0.1171875,0.981015625,0.984765625,16.375,1.05078125,132.8125,3.2773437500000004,13.828125,40.0390625,10.109375,15.2265625,39.53125,receiver,feedback,reference_manifest,reference_manifest,0.4366313277305154,0.5347967321394077,0.007892183814448,0.018136708934714273,0.003445974697595713,6307.397827078336,6.159568190506188,5117.753595060407,4.997806245176179,20.44762567647059,0.5343650201363773,0.0,0.00515237496387312,0.0,0.013189885114035392,0.4468610077826861,0.018342260077908536,0.0,0.5347967321394077,2
38,0.793125,0.9777343749999999,0.07421875,0.3421875,0.9866406249999999,0.993671875,6.375,1.94140625,217.1875,4.27265625,10.859375,28.3203125,13.390625,5.6640625,34.21875,sender,one_way,reference_manifest,reference_manifest,0.41926503395522013,0.5085115275370788,0.017580041389698865,0.03879314026413821,0.00737069665018627,6603.864846679704,6.449086764335648,6603.8648466797085,6.449086764335653,15.44571412769784,0.0,0.0,0.3728073932150656,0.0,0.006885380569232787,0.11179569867862292,0.3796927737842983,0.0,0.5085115275370788,1
38,0.793125,0.9777343749999999,0.07421875,0.3421875,0.9866406249999999,0.993671875,6.375,1.94140625,217.1875,4.27265625,10.859375,28.3203125,13.390625,5.6640625,34.21875,sender,feedback,reference_manifest,reference_manifest,0.49425589071147125,0.6064572671501953,0.006121331837760845,0.015923706946384047,0.0030255043198129735,5957.37877737392,5.817752712279218,6317.361247695721,6.169298093452853,19.71837037769784,0.1593146254774854,0.0,0.17538835294292993,0.0,0.008211591787369061,0.20994278811950598,0.18359994473029914,0.0,0.6064572671501953,2
38,0.793125,0.9777343749999999,0.07421875,0.3421875,0.9866406249999999,0.993671875,6.375,1.94140625,217.1875,4.27265625,10.859375,28.3203125,13.390625,5.6640625,34.21875,receiver,one_way,reference_manifest,reference_manifest,0.4947334643727067,0.6070810272656652,0.006059489610873687,0.015778064671147153,0.0029978322875179636,6603.864846679704,6.449086764335648,6603.8648466797085,6.449086764335653,15.44571412769784,0.5948134514835884,0.0,0.1767852955975799,0.0,0.006885380569232787,0.20924829656752228,0.18367067616681276,0.0,0.6070810272656652,1
38,0.793125,0.9777343749999999,0.07421875,0.3421875,0.9866406249999999,0.993671875,6.375,1.94140625,217.1875,4.27265625,10.859375,28.3203125,13.390625,5.6640625,34.21875,receiver,feedback,reference_manifest,reference_manifest,0.4947334643727067,0.6070810272656652,0.006059489610873687,0.015778064671147153,0.0029978322875179636,2325.257929009067,2.270759696297917,1853.2496447424546,1.8098141061938033,19.64514332733813,0.5948134514835884,0.0,0.1767852955975799,0.0,0.006885380569232787,0.20924829656752228,0.18367067616681276,0.0,0.6070810272656652,2
39,0.841875,0.970703125,0.14921875,0.1265625,0.992265625,0.9777343749999999,4.375,0.74609375,189.0625,0.90390625,8.515625,30.2734375,22.578125,17.3515625,42.65625,sender,one_way,reference_manifest,reference_manifest,0.4038135981837199,0.4796581722660299,0.03786519007039098,0.0804762034117638,0.015290478648235043,4285.452875976555,4.185012574195855,4285.452875976558,4.1850125741958575,9.641426126033057,0.0,0.0,0.2875868720035787,0.0,0.003738773250479233,0.22901618247991107,0.29132564525405785,0.0,0.4796581722660299,1
